,placa,loc_latitude,loc_longitude,count
1242,GSS0695,1772,1190,1
1243,OTM0787,6333,6028,1
1244,PJM6821,4162,7589,1
1245,OTY3533,3088,6052,1
1246,JUJ6306,9222,1778,1
1247,ODI3248,7210,1962,1
1248,NZO1004,2967,3581,11
1249,HDV3633,7260,9133,1
1250,KVV6749,7361,6353,1
1251,HNX9286,9222,5020,1
1252,OSR3971,461,4253,1
1253,EDY5282,4361,2544,1
1254,OUI8579,3944,7554,1
1255,BCM5608,8112,2056,1
1256,PLN1809,2403,9277,1
1257,NIQ4311,9612,8692,1
1258,NCB4645,4738,6727,1
1259,NUU1554,7428,4378,2
1260,OPG8211,4853,8470,2
1261,KFP8100,1289,9660,1
1262,OPC8863,2374,6763,1
1263,JOR9912,500,9278,1
1264,OQF4653,5466,1020,1
1265,KDI4897,7134,4709,1
1266,OGW4576,7361,6353,1
1267,NYH9045,6072,9488,1
1268,BBX0929,2403,9277,1
1269,HRE1418,7210,1962,1
1270,OYQ6471,6050,6869,1
1271,PDM4462,4384,433,1
1272,HIV2894,1708,1402,1
1273,OIS3214,7723,5667,1
1274,OSR3971,472,5552,1
1275,PBY6406,6072,9488,1
1276,ODI8970,8412,89,1
1277,OWQ7768,764,6804,1
1278,HSV7524,8711,2753,1
1279,OIR0712,8310,2494,1
1280,HYR5111,7944,9952,1
1281,GOR0080,2850,4686,1
1282,PWD6088,9711,2269,1
1283,JOZ3324,8412,89,1
1284,NNU0670,3976,6305,1
1285,HBY5919,6072,9488,1
1286,PCM5318,3416,1233,1
1287,ONV9675,9222,5020,1
1288,HOY4142,2838,5619,1
1289,HML2277,7944,9952,1
1290,KFV1508,7556,4971,1
1291,OLE8486,5825,9794,1
1292,HAU4046,4400,5106,1
1293,ILE1254,1638,6794,1
1294,HDX6246,7272,1070,2
1295,OII1391,2556,2528,1
1296,OIU7306,2850,4686,1
1297,EOA5466,6967,2919,1
1298,LLC1615,7088,5806,1
1299,OYR1085,8711,2753,1
1300,OIC1229,9666,833,1
1301,IUQ3740,8112,2056,1
1302,BES8946,7428,4378,1
1303,OOO8600,5666,5667,1
1304,BDM7751,1708,1402,1
1305,ICE7572,1638,6794,1
1306,KHE0787,8310,2494,3
1307,NDG9085,5500,4917,3
1308,HEK3523,3416,1233,1
1309,IID1111,4853,8470,1
1310,ORG7371,6333,6028,1
1311,OEG4058,7388,5319,1
1312,HNN9835,4111,7000,2
1313,OII1837,7260,9133,1
1314,ITQ6325,3366,9194,2
1315,JBN7575,7723,5667,1
1316,ODC1681,5466,1020,1
1317,PTN1651,3944,7554,1
